Headcount;Poverty.Line.Month;Mean;Median;Gini;Population.Density;Consumption;Arab.Region;East.Asia.and.the.Pacific;Europe.and.Central.Asia;Latin.America.and.the.Caribbean;South.Asia;Sub.Saharan.Africa;Urban.Pop;Age.Dependency;Mean_Class.A;Mean_Class.B;Mean_Class.C
17.200001;52.898972;132.473907470703;96.0269165039062;40.6078904867172;141.936072304132;1;0;1;0;0;0;0;49.226;36.489722882657;1;0;0
10.2;53.374325;158.028793334961;117.922203063965;39.4973486661911;143.314362368783;1;0;1;0;0;0;0;51.765;36.6549076506147;1;0;0
7.1999997;74.754952;208.173904418945;170.051696777344;33.7563902139664;144.754720237128;1;0;1;0;0;0;0;54.259;37.1756398956484;1;0;0
4.5000002;78.998739;238.610198974609;195.718002319336;33.1798404455185;146.282102014807;1;0;1;0;0;0;0;56.736;38.4988746045366;1;0;0
32.9438;80.31866029;116.02619934082;100.030700683594;29.089230298996;129.186998857259;1;0;1;0;0;0;0;31.916;48.3924522744438;1;0;0
6.66551;74.151643315;218.443695068359;176.722396850586;34.7986996173859;138.330135459593;1;0;1;0;0;0;0;42.522;38.5730966495374;1;0;0
1.35855;67.97517902;306.942901611328;244.135192871094;35.744521021843;141.936072304132;1;0;1;0;0;0;0;49.226;36.489722882657;1;0;0
0.778258;68.586007625;347.106292724609;277.25390625;35.3533506393433;143.314362368783;1;0;1;0;0;0;0;51.765;36.6549076506147;1;0;0
3.16468;96.06011332;396.047088623047;317.785491943359;36.4296704530716;144.754720237128;1;0;1;0;0;0;0;54.259;37.1756398956484;1;0;0
1.97063;101.513379615;441.705596923828;353.009185791016;36.1248314380646;146.282102014807;1;0;1;0;0;0;0;56.736;38.4988746045366;1;0;0
10;64.475171;258.643890380859;176.325103759766;45.5262690782547;31.1892955974843;1;0;0;0;0;0;1;37.91;92.180735453661;1;0;0
36.8;75.111926;129.724105834961;95.3442764282227;40.5638188123703;44.6533396226415;1;0;0;0;0;0;1;41.21;87.9070770696591;1;0;0
48.899999;81.423806;114.988800048828;82.0133895874023;43.1837290525436;61.6527327044025;1;0;0;0;0;0;1;46.491;88.0564818756413;1;0;0
44.400001;75.567714;113.19539642334;82.2734222412109;41.4748013019562;73.0381855345912;1;0;0;0;0;0;1;49.444;83.0206847717815;1;0;0
53.299999;61.452816;88.1696014404297;56.3787307739258;44.4467604160309;29.5547227687165;1;0;0;0;0;0;1;43.164;97.5354468537559;1;0;0
